alacritous.s.01,blistering.s.03,bumper-to-bumper.s.01,dilatory.s.01,drawn-out.s.02,express.s.02,fast-paced.s.01,fast.a.01,fleet.s.01,high-speed.s.01,immediate.s.05,instant,instantaneous.s.01,laggard,meteoric.s.03,poky,prompt,quick,rapid.s.01,slow.a.01,sluggish.s.01,smart.s.06,speedy,straightaway,swift,windy.s.03,winged.s.02
11,23,5,4,2,21,15,14,18,22,25,27,26,3,24,1,19,10,16,6,7,12,13,20,17,9,8 # Markus
18,22,2,5,3,15,14,13,20,21,25,27,26,7,23,6,16,10,10,17,4,1,12,24,19,8,9 # Stefan
13,23,1,6,7,21,15,14,17,22,25,27,26,2,24,4,12,11,20,3,5,10,16,9,19,8,18 # Alana
8,22,1,1,1,8,8,8,8,8,22,22,22,1,22,6,8,8,8,6,1,8,8,22,8,8,8 # Jennifer
