air-conditioned.s.01,air-cooled.s.01,algid.s.01,arctic.s.02,baking.s.01,bleak.s.03,blistering.s.02,chilly,cold.a.01,cool.a.01,crisp.s.03,fiery.s.02,frigid,frigorific.s.01,frosty.s.02,gelid,glacial,heated.s.01,heatless.s.01,hot.a.01,hottish.s.01,ice-cold.s.01,icy,igneous,lukewarm.s.01,nippy,overheated.s.01,parky,red-hot.s.04,rimed,rimy,scorching.s.01,sizzling.s.01,stifling,stone-cold.s.01,sultry.s.02,sweltering.s.01,tepid,thermal.s.03,torrid.s.03,tropic,tropical.s.04,unheated.s.01,unwarmed,warm.a.01,warmed.s.01
23,24,13,1,38,11,43,16,12,22,14,41,6,18,8,2,2,29,19,32,31,2,2,41,25,14,40,16,45,8,8,46,44,33,6,33,37,25,30,39,35,35,20,20,27,28 # Markus
20,21,6,1,41,14,42,12,16,19,18,40,5,17,8,7,2,29,22,32,31,4,3,46,25,15,39,13,45,9,9,44,43,36,11,35,37,26,30,38,34,33,24,23,27,28 # Stefan
20,21,4,1,39,13,43,14,12,19,16,41,4,18,9,4,7,29,24,32,31,2,7,41,25,15,40,17,46,9,9,43,45,37,3,33,36,25,30,38,33,33,22,22,27,28 # Alana
19,20,12,1,38,12,45,14,10,21,17,22,1,15,7,1,1,32,22,34,33,6,1,22,27,17,34,15,46,7,7,44,41,38,10,40,41,27,30,43,36,36,25,25,29,30 # Jennifer
