air-conditioned.s.01,air-cooled.s.01,algid.s.01,arctic.s.02,baking.s.01,bleak.s.03,blistering.s.02,chilly,cold.a.01,cool.a.01,crisp.s.03,fiery.s.02,frigorific.s.01,frosty.s.02,heated.s.01,heatless.s.01,hot.a.01,hottish.s.01,ice-cold.s.01,lukewarm.s.01,overheated.s.01,red-hot.s.04,scorching.s.01,sizzling.s.01,stone-cold.s.01,sultry.s.02,sweltering.s.01,thermal.s.03,torrid.s.03,tropical.s.04,unheated.s.01,warm.a.01,warmed.s.01
14,15,7,1,26,5,30,9,6,13,8,29,10,4,19,11,22,21,2,16,28,32,33,31,3,23,25,20,27,24,12,17,18 # Markus
12,13,6,1,29,7,30,5,8,11,10,28,9,3,19,14,22,21,2,16,27,33,32,31,4,24,25,20,26,23,15,17,18 # Stefan
11,13,4,1,27,7,30,8,6,12,9,29,10,5,19,15,22,21,2,16,28,32,33,31,3,23,26,20,25,24,14,17,18 # Alana
11,12,6,1,25,6,31,8,5,13,10,33,9,3,20,14,22,21,2,16,23,32,30,28,4,26,27,19,29,24,15,17,18 # Jennifer

