Source,Relation,Word,WordNet Definition,Wiktionary Definition,Oxford Definition
joyous,similar to,merry.01,full of or showing high-spirited merriment,Jolly and full of high spirits.,Cheerful and lively.
joyous,similar to,merry.02,offering fun and gaiety,Festive and full of fun and laughter.,(of an occasion or season) characterized by festivity and enjoyment.
joyous,similar to,mirthful,full of or showing high-spirited merriment,filled with mirth.,Full of mirth; merry or amusing.
joyless,similar to,mirthless,lacking mirth,Lacking mirth; devoid of joy.,(of a smile or laugh) lacking real amusement and typically expressing irony.
unhappy,similar to,miserable,very unhappy; full of misery,"In a state of misery: very sad, ill, or poor.",(of a person) wretchedly unhappy or uncomfortable.
sorrowful,similar to,mournful,expressing sorrow,Filled with grief or sadness; being in a state in which one mourns.,"Feeling, expressing, or inducing sadness, regret, or grief."
sad,similar to,mournful.02,filled with or evoking sadness,Filled with grief or sadness; being in a state in which one mourns.,"Feeling, expressing, or inducing sadness, regret, or grief."
sorrowful,similar to,mourning,sorrowful through loss or deprivation,present participle of mourn,(Noun def) The expression of sorrow for someone's death.
joyful,similar to,overjoyed,extremely joyful,Very happy.,Extremely happy.
sad,similar to,pensive.02,showing pensive sadness,"Looking thoughtful, especially from sadness.",pensive
cheerful,similar to,perky,characterized by liveliness and lightheartedness,Lively or enthusiastic.,Cheerful and lively.
sorrowful,similar to,plaintive,expressing sorrow,"Sounding sorrowful, mournful or melancholic.",Sounding sad and mournful.
"contended, content",see also,pleased,experiencing or manifesting pleasure,"happy, content","Feeling or showing pleasure and satisfaction, especially at an event or a situation."
elated,similar to,prideful.02,joyful and proud especially because of triumph or success,"Full of pride; haughty, arrogant.",Having an excessively high opinion of oneself.
joyous,similar to,rapturous,feeling great rapture or delight,Full of rapture.,"Characterized by, feeling, or expressing great pleasure or enthusiasm."
joyous,similar to,rapturous,feeling great rapture or delight,Full of rapture.,"Characterized by, feeling, or expressing great pleasure or enthusiasm."
"discontented, discontent",similar to,rebellious.02,discontented as toward authority,Showing rebellion.,"Showing a desire to resist authority, control, or convention."
elated,similar to,rejoicing,joyful and proud especially because of triumph or success,present participle of rejoice,Great joy; jubilation.
"discontented, discontent",similar to,restless,worried and uneasy,Not satisfied to be at rest or in peace; averse to repose; eager for change; discontented.,Unable to rest or relax as a result of anxiety or boredom.
joyous,similar to,rhapsodic,feeling great rapture or delight,highly emotional; rapturous,See rhapsody: (Noun) An effusively enthusiastic or ecstatic expression of feeling.
happy,similar to,riant,showing or feeling mirth or pleasure or happiness,"When said of a person or a person's manner: mirthful, cheerful, smiling, light-hearted.","Of a person or a person's disposition, actions, etc.: smiling, mirthful, cheerful, light-hearted."
glad,antonym,sad,experiencing or showing sorrow or unhappiness,"Feeling sorrow; sorrowful, mournful.",Feeling or showing sorrow; unhappy.
unhappy,see also,sad,experiencing or showing sorrow or unhappiness,"Feeling sorrow; sorrowful, mournful.",Feeling or showing sorrow; unhappy.
sorrowful,similar to,sad.02,of things that make you feel sad,Appearing sorrowful.,Causing or characterized by sorrow or regret; unfortunate and regrettable.
"contended, content",similar to,satisfied,filled with satisfaction,In a state of satisfaction.,Contented; pleased.
"contended, content",similar to,self-complacent,contented to a fault with oneself or one's actions,Complacently self-satisfied,Showing smug or uncritical satisfaction with oneself or one's achievements.
"contended, content",similar to,self-satisfied,marked by excessive complacency or self-satisfaction,Satisfied with oneself; especially too satisfied; smug; slightly arrogant.,Excessively satisfied with oneself or one's achievements; smugly complacent.
"contended, content",similar to,self-satisfied.02,contented to a fault with oneself or one's actions,Satisfied with oneself; especially too satisfied; smug; slightly arrogant.,Excessively satisfied with oneself or one's achievements; smugly complacent.
joyless,similar to,sepulchral.03,suited to or suggestive of a grave or burial,Relating to a grave or to death; funereal.,Gloomy; dismal.
cheerful,similar to,smiling,smiling with happiness or optimism,That smiles or has a smile.,Having or characterized by a smile.
"contended, content",similar to,smug,marked by excessive complacency or self-satisfaction,"Irritatingly pleased with oneself, offensively self-complacent. self-satisfied.",Having or showing an excessive pride in oneself or one's achievements.
"depressing, cheerless, uncheerful",similar to,somber.02,grave or even gloomy in character,"Dark or dreary in character; joyless, and grim.",Having or conveying a feeling of deep seriousness and sadness.
"depressing, cheerless, uncheerful",similar to,sombre.02,grave or even gloomy in character,"Dark or dreary in character; joyless, and grim.",Having or conveying a feeling of deep seriousness and sadness.
joyful,antonym,sorrowful,experiencing or marked by or expressing sorrow especially that associated with irreparable loss,(of a person) Full of sorrow; exhibiting sorrow; sad; dejected; distressed; distraught.,Feeling or showing grief.
unhappy,see also,sorrowful,experiencing or marked by or expressing sorrow especially that associated with irreparable loss,(of a person) Full of sorrow; exhibiting sorrow; sad; dejected; distressed; distraught.,Causing grief.
sorrowful,similar to,sorrowing,sorrowful through loss or deprivation,present participle of sorrow,(Verb def) Feel or display deep distress.
"depressing, cheerless, uncheerful",similar to,sorry.04,causing dejection,"Poor, sad or regrettable.",Feeling sad or distressed through sympathy with someone else's misfortune.
unhappy,similar to,suffering.02,very unhappy; full of misery,Experiencing pain.,"(Noun) The state of undergoing pain, distress, or hardship."
cheerful,similar to,sunny,bright and pleasant; promoting a feeling of cheer,Cheerful.,Bright with sunlight.
sorrowful,similar to,tearful.02,showing sorrow,sorrowful.,Crying or inclined to cry.
sorrowful,similar to,tormented,experiencing intense pain especially mental pain,simple past tense and past participle of torment,Experiencing or characterized by severe physical or mental suffering.
sorrowful,similar to,tortured,experiencing intense pain especially mental pain,simple past tense and past participle of torture,(Verb def) Inflict severe pain on.
sad,similar to,tragic,very sad; especially involving grief or death or destruction,Causing great sadness or suffering.,Causing or characterized by extreme distress or sorrow.
elated,similar to,triumphal.02,joyful and proud especially because of triumph or success,"Of, relating to, or being a triumph.","Made, carried out, or used in celebration of a great victory or achievement."
elated,similar to,triumphant,joyful and proud especially because of triumph or success,Celebrating victory.,Feeling or expressing jubilation after a victory or achievement.
cheerful,similar to,twinkly,smiling with happiness or optimism,that twinkles,See twinkle: (Verb def) shine with a gleam that changes constantly from bright to faint.
unhappy,see also,uncheerful,causing sad feelings of gloom and inadequacy,Not cheerful.,-
"discontented, discontent",similar to,ungratified,worried and uneasy,Not gratified.,-
happiness,has attribute,unhappy,experiencing or marked by or causing sadness or sorrow or discontent,Not happy; sad.,Not happy.
happy,antomyn,unhappy,experiencing or marked by or causing sadness or sorrow or discontent,Not happy; sad.,Not happy.
unhappy,see also,unhappy.02,generalized feeling of distress,Not satisfied; unsatisfied.,Not satisfied or pleased with (a situation)
"discontented, discontent",similar to,unsatisfied.02,worried and uneasy,"Not satisfied, especially with the quantity of something",Not satisfied.
joyless,similar to,unsmiling,not smiling,Not smiling; serious or grave,(of a person or their manner or expression) serious or unfriendly; not smiling.
elated,similar to,uplifted,exalted emotionally especially with pride,"Joyous, hopeful or inspired.",(Verb def) Elevate (someone) morally or spiritually.
sorrowful,similar to,wailful,vocally expressing grief or sorrow or resembling such expression,chiefly poetic) Sorrowful; mournful.,Sorrowful.
sorrowful,similar to,wailing,vocally expressing grief or sorrow or resembling such expression,-,(Verb def) Utter a wail
sad,similar to,wistful,showing pensive sadness,Sad and thoughtful.,Having or showing a feeling of vague or regretful longing.
sorrowful,similar to,woebegone.02,affected by or full of grief or woe,In a deplorable state.,Sad or miserable in appearance.
sorrowful,similar to,woeful,affected by or full of grief or woe,Full of woe; sorrowful; distressed with grief or calamity.,"Characterized by, expressive of, or causing sorrow or misery."
unhappy,similar to,wretched.03,very unhappy; full of misery,"Very miserable; sunk in, or accompanied by, deep affliction or distress, as from want, anxiety, or grief; calamitous; woeful; very afflicting.",(of a person) in a very unhappy or unfortunate state.
